URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/163997/31471770,Namibia,220037_keetmanshoop,Ileni,2001,04-07-2018,History: N/A,"Tenuresecurity, Sanitationsewage, Waterdrainage, Housing, Electricity, Tenuresecurity, Sanitationsewage, Waterdrainage, Housing, Electricity","2,236",584,None,"declared, legal, protected",1,"1,Broken toilets:0",1:559,Pour flush,3,"3,",1:745,yes,N/A,1,Individual bins,gravel roads,Taxi,2,N/A,N/A,N/A,N/A,"Tb, Diarrhrea, Hiv, Other",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/163997/10366666,Namibia,Windhoek,Kabila A,2000,25-03-2018,"History: They were brought there by municipality into 2 groups, but they are still renting the places.","Tenuresecurity, Housing, Electricity, Waterdrainage, Sanitationsewage, Tenuresecurity, Housing, Electricity, Waterdrainage, Sanitationsewage","5,650",1168,None,"undeclared, illegal, unprotected",N/A,NA,1:202,N/A,15,N/A,1:377,no,60,3,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",1,Yes,other,none,never,"Other, Tb, Diarrhrea, Hiv",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,Churches
https://sdinet.org/settlement/163997/10366742,Namibia,Kamanjab,Five Rand,2005,03-10-2017,"History: It is a peaceful location , everything sold here cost 5rand","Waterdrainage, Electricity, Sanitationsewage, Housing, Other, Waterdrainage, Electricity, Sanitationsewage, Housing, Other","1,530",307,None,"declared, legal, protected",N/A,NA,1:1,N/A,3,N/A,1:510,yes,30,N/A,Common area inside settlement,dirt paths,Walking,N/A,N/A,never,none,never,"BP, Diarrhea, Headache, Flu",yes,more than 1 hour,no,Unknown,no,Unknown,Churches
https://sdinet.org/settlement/163997/10366741,Namibia,Outjo,Kaap en bou,2013,13-01-2018,History: No we are divided in streets and they gave us the numbers.,"Waterdrainage, Electricity, Sanitationsewage, Housing, Landtenure, Waterdrainage, Electricity, Sanitationsewage, Housing, Landtenure",900,300,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,150,N/A,Disorganized deposit,dirt paths,Taxi,N/A,N/A,N/A,N/A,N/A,"Malaria, TB, BP, AIDS",yes,Unknown,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/163997/10366747,Namibia,Windhoek,Samuel Maharero,1992,01-03-2017,History: We came here illegal,"Landtenure, Electricity, Waterdrainage, Housing, Other, Landtenure, Electricity, Waterdrainage, Housing, Other",314,172,None,"declared, legal, protected",N/A,NA,1:45,N/A,9,N/A,1:35,no,98,3,Common area inside settlement,dirt paths,"Bus, Taxi, Walking",2,Yes,month,average,year,"Diarhoea, Malaria, TB, Influenza",no,Unknown,yes,30 minutes to 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/163997/10366792,Namibia,Kamanjab,Saamstaan block,2012,04-10-2017,History: Its a peacefull location the time we araive here everything was costing 5rand.we did clean this place becaus we are but of shackdwellers and we dont want move far from other locaatiion,"Landtenure, Housing, Electricity, Sanitationsewage, Landtenure, Housing, Electricity, Sanitationsewage",108,18,None,resettled,N/A,NA,1:1,N/A,N/A,N/A,N/A,no,60,N/A,Disorganized deposit,dirt paths,Walking,N/A,N/A,never,none,never,"Flu, Girarhea, Bp, Chicken box",yes,30 minutes to 1 hour,no,Unknown,N/A,Unknown,N/A
https://sdinet.org/settlement/163997/10366749,Namibia,Gochas,/Gomxab !Naus,1995,11-10-2017,History: When we came from the farms - where there were work problems - we decided as a community to stay in the settlement.,"Sanitationsewage, Electricity, Landtenure, Housing, Waterdrainage, Sanitationsewage, Electricity, Landtenure, Housing, Waterdrainage",342,57,None,"not, applicable",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,30,N/A,Common area inside settlement,gravel roads,Walking,1,N/A,N/A,none,N/A,"TB, High blood pressure, HIV/AIDS",yes,90,no,Unknown,no,Unknown,N/A
https://sdinet.org/settlement/163997/10366794,Namibia,Okakarara,Lalapansie,1981,12-01-2018,History: Established by A.K Tjipasain 1989 with only one house. The area was bushy. the second part of the location whereas in 1975 the 1st people were authorised by the then councillor Karijera Karamata.,"Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity",664,182,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,400,N/A,Disorganized deposit,dirt paths,"Walking, Other",6,Yes,year,average,other,"TB, AIDS, Diarhoea, Cold and flu",yes,more than 1 hour,yes,more than 1 hour,no,Unknown,"Generalshops, Foodshops, Clothingshops, Churches, Carrepair"
https://sdinet.org/settlement/163997/10366824,Namibia,Otjimbingwe,Central,1975,14-01-2018,History: When we came to stay here in the shacks (1970) there was a bible school and a church.,"Sanitationsewage, Electricity, Waterdrainage, Other, Sanitationsewage, Electricity, Waterdrainage, Other",988,NaN,high,"declared, legal, protected",N/A,NA,1:1,Pit latrine,N/A,N/A,N/A,yes,N/A,N/A,N/A,gravel roads,"Walking, Other",N/A,Yes,never,none,never,"TB, High blood pressure, AIDS, Diabetes",yes,Unknown,no,Unknown,no,Unknown,"Policestations, Generalshops, Churches"
https://sdinet.org/settlement/163997/10366797,Namibia,Aranos,Newerust,2003,14-01-2018,History: People were brought by Village Council.,"Electricity, Waterdrainage, Sanitationsewage, Landtenure, Housing, Electricity, Waterdrainage, Sanitationsewage, Landtenure, Housing","1,206",402,None,resettled,N/A,NA,1:121,N/A,N/A,N/A,N/A,no,N/A,0.25,Common area inside settlement,dirt paths,Walking,N/A,N/A,N/A,none,N/A,"Asthma & TB, HIV, High blood sugar, Epilepsy",yes,Unknown,no,Unknown,yes,Unknown,Foodshops
https://sdinet.org/settlement/163997/10366798,Namibia,Outjo,Soweto 2,1994,13-01-2018,History: No place to stay thats why we make this location,"Housing, Sanitationsewage, Landtenure, Other, Other, Housing, Sanitationsewage, Landtenure, Other, Other",500,100,None,"declared, legal, protected",N/A,90,1:6,Pit latrine,8,N/A,1:100,yes,100,N/A,Common area inside settlement,gravel roads,Taxi,N/A,N/A,week,good,month,"High blood pressure, HIV-AIDS, Asma, Mental",N/A,Unknown,N/A,Unknown,yes,more than 1 hour,"Foodshops, Communications"
https://sdinet.org/settlement/163997/24047551,Namibia,Windhoek,Mix Berghof,1980,14-01-2018,"History: A white man came to settle here and he was renting the place, he found himself in financial problem and decided to get people from windhoek to come settle and pay the rent to him","Waterdrainage, Sanitationsewage, Housing, Waterdrainage, Tenuresecurity, Waterdrainage, Sanitationsewage, Housing, Waterdrainage, Tenuresecurity","6,256",1569,low,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,7,N/A,"1:1,043",no,120,N/A,Common area inside settlement,tarred roads,Taxi,2,Yes,fortnighly,average,never,"Diarrhrea, Tb, Hiv, Malaria",no,Unknown,no,Unknown,no,Unknown,"Generalshops, Foodshops"
https://sdinet.org/settlement/163997/28162104,Namibia,22031_oniipa,Olumbongo,1970,29-06-2018,History: N/A,"Tenuresecurity, Housing, Sanitationsewage, Electricity, Waterdrainage, Tenuresecurity, Housing, Sanitationsewage, Electricity, Waterdrainage","2,000",601,None,"declared, legal, protected",100,"100,Broken toilets:0",1:19,Flush,N/A,"150,",1:13,yes,154,N/A,Disorganized deposit,dirt paths,Walking,2,Yes,year,average,year,"Malaria, Tb, Hiv, Diarrhrea",yes,30 minutes,yes,30 minutes,yes,30 minutes,"Playground, Generalshops, Foodshops, Clothingshops, Carrepair"
https://sdinet.org/settlement/163997/27866362,Namibia,22033_ruacana,Okalukanda Ka Naango,1992,14-04-2018,"History: In 1992 there were 2 shacks and one  Tate Samuel hare  a pig from other name, the settlement was moved from the other side of the road to where the settlement is currently located","Waterdrainage, Other, Sanitationsewage, Housing, Other, Waterdrainage, Other, Sanitationsewage, Housing, Other",904,277,None,"declared, legal, protected",7,"7,Broken toilets:0",1:129,Pit latrine,1,"6,",1:129,yes,N/A,N/A,Disorganized deposit,dirt paths,"Taxi, Walking",N/A,Yes,quaterly,good,year,"Malaria, Other, Hiv, Other",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,Churches
